0, HousePrice-10, COVID-7, mem, 0.0, False
0, HousePrice-3, HousePrice-1, int, 0.0, False
0, COVID-10, GlobalWarming-9, int, 0.0, False
0, GlobalWarming-10, GlobalWarming-4, int, 0.0, False
0, HousePrice-3, COVID-3, tru, 0.0, False
0, GlobalWarming-4, COVID-4, aes, 0.0, False
0, HousePrice-10, GlobalWarming-2, aes, 0.0, False
0, GlobalWarming-12, GlobalWarming-5, aes, 0.0, False
0, HousePrice-10, COVID-10, cft, 0.0, False
0, HousePrice-12, GlobalWarming-8, cft, 0.0, False
0, HousePrice-10, HousePrice-8, itt, 0.000840335999999553, False
0, GlobalWarming-8, HousePrice-7, emp, -0.0009775169999999278, False
0, GlobalWarming-6, COVID-6, int, 0.0015873009999998189, False
0, COVID-12, GlobalWarming-8, cft, -0.0015873009999998189, False
0, HousePrice-12, COVID-12, cft, 0.0015873009999998189, False
0, GlobalWarming-12, COVID-4, int, -0.0023809530000002965, False
0, GlobalWarming-3, COVID-1, aes, -0.0025252529999999496, False
0, GlobalWarming-12, COVID-10, itt, 0.0025974020000001374, False
0, COVID-11, GlobalWarming-6, mem, -0.0031746030000001646, False
0, HousePrice-8, COVID-2, cft, -0.0031746030000006087, False
0, COVID-8, GlobalWarming-4, tru, -0.003565061999999841, False
0, HousePrice-10, GlobalWarming-2, emp, -0.005040323000000235, False
0, COVID-12, HousePrice-8, tru, 0.005050504999999816, False
0, COVID-5, GlobalWarming-1, aes, -0.005555556000000017, False
0, GlobalWarming-6, HousePrice-2, aes, 0.005555556000000017, False
0, COVID-9, HousePrice-2, cft, -0.005555556000000017, False
0, GlobalWarming-11, GlobalWarming-1, tru, -0.00574712599999927, False
0, COVID-3, COVID-2, int, -0.006349206999999524, False
0, HousePrice-12, COVID-12, tru, 0.00653594800000068, False
0, GlobalWarming-1, COVID-1, cft, -0.007575758000000654, False
0, HousePrice-7, GlobalWarming-1, int, 0.00793650800000023, False
0, COVID-12, GlobalWarming-9, emp, -0.009090909000000202, False
0, HousePrice-10, HousePrice-5, emp, 0.009191175999999857, False
0, GlobalWarming-11, HousePrice-4, tru, 0.00940438900000018, False
0, HousePrice-12, HousePrice-8, tru, 0.011586453000000496, False
0, GlobalWarming-7, HousePrice-5, tru, -0.011764705999999236, False
0, HousePrice-12, GlobalWarming-7, aes, -0.011904761999999458, False
0, COVID-10, HousePrice-9, emp, -0.012333965999999918, False
0, COVID-12, HousePrice-9, itt, -0.012477718000000415, False
0, GlobalWarming-9, HousePrice-7, tru, -0.012605042000000566, False
0, HousePrice-12, GlobalWarming-10, itt, -0.012605042000000566, False
0, HousePrice-8, GlobalWarming-7, int, -0.012698412999999853, False
0, GlobalWarming-10, HousePrice-6, cft, 0.012698412999999853, False
0, COVID-6, GlobalWarming-3, cft, 0.013071896000000027, False
0, COVID-5, COVID-4, itt, -0.013348165000000023, False
0, GlobalWarming-10, COVID-10, itt, -0.013368983999999529, False
0, GlobalWarming-5, COVID-1, emp, -0.014161220000000085, False
0, GlobalWarming-6, GlobalWarming-5, tru, 0.014204545000000124, False
0, HousePrice-5, GlobalWarming-2, emp, -0.014231499000000092, False
0, GlobalWarming-12, GlobalWarming-10, cft, 0.015079365000000067, False
0, HousePrice-4, GlobalWarming-1, tru, -0.01515151499999945, False
0, HousePrice-10, GlobalWarming-9, int, -0.01587301500000038, False
0, HousePrice-10, COVID-10, int, -0.01587301500000038, False
0, GlobalWarming-12, GlobalWarming-10, itt, 0.015966385999999666, False
0, HousePrice-9, GlobalWarming-1, emp, -0.01707779899999995, False
0, HousePrice-4, GlobalWarming-3, emp, -0.018382352999999796, False
0, COVID-8, HousePrice-6, emp, 0.019047618999999294, False
0, HousePrice-6, GlobalWarming-1, int, -0.01984126999999969, False
0, COVID-11, COVID-9, emp, -0.01988636399999999, False
0, COVID-2, GlobalWarming-1, cft, -0.020202019999999266, False
0, GlobalWarming-9, COVID-9, itt, -0.020202020000000154, False
0, COVID-7, GlobalWarming-4, int, 0.021428571000000396, False
0, GlobalWarming-10, COVID-7, int, -0.021428571000000396, False
0, GlobalWarming-8, COVID-1, itt, 0.021428571000000396, False
0, COVID-3, HousePrice-1, cft, -0.021428571000000396, False
0, COVID-9, COVID-6, cft, 0.022222221999999903, False
0, GlobalWarming-9, COVID-6, emp, -0.022281640000000102, False
0, GlobalWarming-5, COVID-1, itt, -0.022727273000000103, False
0, GlobalWarming-2, HousePrice-1, int, -0.022875816999999188, False
0, HousePrice-3, GlobalWarming-2, int, 0.022875816999999188, False
0, GlobalWarming-12, COVID-5, tru, -0.022875816999999188, False
0, COVID-4, GlobalWarming-3, tru, -0.022988504999999826, False
0, HousePrice-8, GlobalWarming-1, cft, -0.023376622999999874, False
0, HousePrice-11, COVID-2, emp, 0.023897059000000276, False
0, GlobalWarming-12, COVID-5, int, 0.025396824999999623, False
0, HousePrice-12, COVID-10, itt, -0.025974026000000094, False
0, COVID-6, GlobalWarming-5, int, 0.026190476000000018, False
0, COVID-12, COVID-1, cft, 0.026190476000000018, False
0, COVID-10, HousePrice-6, mem, -0.027777776999999837, False
0, GlobalWarming-11, GlobalWarming-10, mem, 0.027777776999999837, False
0, GlobalWarming-6, GlobalWarming-5, int, 0.027777776999999837, False
0, HousePrice-12, HousePrice-6, int, -0.027777776999999837, False
0, GlobalWarming-8, COVID-1, cft, 0.027777776999999837, False
0, HousePrice-12, COVID-1, cft, 0.027777776999999837, False
0, GlobalWarming-9, GlobalWarming-3, mem, 0.02777777799999992, False
0, HousePrice-9, HousePrice-2, mem, 0.02777777799999992, False
0, GlobalWarming-10, HousePrice-1, mem, 0.02777777799999992, False
0, HousePrice-11, COVID-4, mem, -0.02777777799999992, False
0, HousePrice-12, HousePrice-6, mem, 0.02777777799999992, False
0, COVID-5, COVID-4, int, -0.02777777799999992, False
0, HousePrice-7, GlobalWarming-4, int, -0.02777777799999992, False
0, HousePrice-7, HousePrice-6, int, 0.02777777799999992, False
0, GlobalWarming-10, HousePrice-7, int, 0.02777777799999992, False
0, COVID-8, HousePrice-7, aes, -0.02777777799999992, False
0, GlobalWarming-8, HousePrice-6, aes, -0.02777777799999992, False
0, HousePrice-12, HousePrice-8, aes, 0.02777777799999992, False
0, COVID-2, COVID-1, cft, -0.02777777799999992, False
0, COVID-6, HousePrice-2, cft, -0.02777777799999992, False
0, COVID-8, COVID-4, cft, -0.02777777799999992, False
0, GlobalWarming-12, HousePrice-6, cft, 0.02777777799999992, False
0, GlobalWarming-12, GlobalWarming-7, cft, -0.02777777799999992, False
0, GlobalWarming-11, COVID-4, itt, 0.028397565999999763, False
0, GlobalWarming-7, COVID-7, aes, -0.028571428000000232, False
0, HousePrice-12, GlobalWarming-12, itt, -0.028571428000000232, False
0, HousePrice-9, HousePrice-6, tru, -0.029411763999999785, False
0, GlobalWarming-10, HousePrice-9, tru, -0.029411764999999868, False
0, HousePrice-11, COVID-7, tru, -0.029411764999999868, False
0, GlobalWarming-7, COVID-4, emp, -0.029411764999999868, False
0, COVID-10, GlobalWarming-1, emp, -0.029411764999999868, False
0, HousePrice-9, GlobalWarming-2, cft, 0.029464285999999618, False
